City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,sabang,5.8933,95.3214,28.14,75,100,6.16,ID,1709414032
203,tolanaro,-25.0319,46.9987,23.77,89,2,4.6,MG,1709413979
204,angaur state,6.906,134.13,27.25,80,100,8.09,PW,1709414032
205,hell-ville,-13.4,48.2667,26.87,79,100,2.41,MG,1709414032
206,vilyuchinsk,52.9306,158.4028,-6.85,85,100,3.14,RU,1709414032
207,canutama,-6.5339,-64.3831,26.02,96,94,1.63,BR,1709414032
208,akureyri,65.6835,-18.0878,-11.38,64,0,2.39,IS,1709414033
209,trujillo,-8.116,-79.03,24.98,73,20,5.66,PE,1709413925
210,qaqortoq,60.7167,-46.0333,-7.94,95,100,1.26,GL,1709414033
211,asau,46.4333,26.4,5.71,61,100,0.67,RO,1709414033
212,magong,23.5654,119.5863,16.61,79,100,9.83,TW,1709414033
213,umm kaddadah,13.6017,26.6876,27.0,13,40,5.87,SD,1709414033
214,booue,-0.0921,11.9385,25.36,93,100,1.13,GA,1709414033
215,mount gambier,-37.8333,140.7667,11.43,83,72,2.39,AU,1709413836
216,lebu,-37.6167,-73.65,15.25,68,1,10.79,CL,1709413778
217,hithadhoo,-0.6,73.0833,28.07,75,61,1.77,MV,1709414034
218,farafangana,-22.8167,47.8333,24.08,79,77,1.95,MG,1709414034
219,leninskoye,41.7589,69.3864,-0.7,98,100,0.32,KZ,1709414034
220,alofi,-19.0595,-169.9187,27.94,78,75,4.63,NU,1709413981
221,susuman,62.7833,148.1667,-27.23,100,99,1.34,RU,1709414034
222,nebbi,2.4783,31.0889,24.99,56,96,1.92,UG,1709414034
223,emerald,-23.5333,148.1667,21.86,92,6,2.61,AU,1709414034
224,malvan,16.0667,73.4667,23.93,87,62,4.37,IN,1709414035
225,harrisburg,40.2737,-76.8844,9.3,94,100,6.17,US,1709414011
226,sanctuary point,-35.1114,150.629,20.42,88,39,1.89,AU,1709414035
227,kallupatti,9.7167,77.8667,24.27,66,22,1.33,IN,1709414035
228,newman,37.3138,-121.0208,13.46,65,99,5.81,US,1709414035
229,broken hill,-31.95,141.4333,19.69,43,2,4.29,AU,1709414035
230,sidi ifni,29.3797,-10.173,15.93,75,50,7.62,MA,1709414035
231,argo,37.6333,22.7333,10.44,78,0,1.81,GR,1709414036
232,ihosy,-22.4,46.1167,18.15,92,28,3.47,MG,1709414036
233,viqueque,-8.8673,126.3658,25.64,91,92,1.32,TL,1709414036
234,tabou,4.423,-7.3528,27.38,87,20,4.16,CI,1709414036
235,urengoy,65.9667,78.3667,-7.69,97,100,3.63,RU,1709414036
236,manga,11.6636,-1.0731,33.79,20,65,3.22,BF,1709414036
237,neftekamsk,56.092,54.2703,-4.84,96,100,1.34,RU,1709414036
